"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Santander, Anthony","623993","2024","217",18.9,7.8,".325",".304",35.3,7.2,34.6,"99.102570395","93.592095461",19.8,53.2
"Contreras, William","661388","2024","264",20.1,10.2,".389",".366",31.9,9.3,56,"104.96067967","97.613940552",30.1,47.3
"Diaz, Yainer","673237","2024","205",15.1,3.9,".279",".305",28.5,6.7,49.7,"101.245181687","95.147497091",21.4,58.1
"Rooker Jr., Brent","667670","2024","195",33.8,10.3,".398",".393",45.8,15.9,49.5,"103.921147778","96.515811776",36.6,49.5
"India, Jonathan","663697","2024","212",19.8,14.6,".311",".343",38,3.6,32.8,"97.880804559","92.940402279",16.5,34.7
"Abrams, CJ","682928","2024","235",20.9,5.1,".322",".344",39.8,6.4,40.9,"99.869934941","94.195722012",24.5,55.2
"Marte, Starling","516782","2024","219",22.4,5.9,".317",".342",37.4,7.7,46.5,"101.907795395","95.378306556",28.3,50.7
"Vierling, Matt","663837","2024","182",22,4.4,".358",".324",42.1,8.3,45.8,"101.962206769","95.505116692",18.6,43.1
"Garcia, Maikel","672580","2024","265",16.6,6.4,".313",".324",36.8,5.9,44.1,"100.4237328","94.6500452",18.1,44.3
"Perkins, Blake","663368","2024","188",26.6,9,".306",".297",33.1,6.8,41.5,"98.526310357","93.775723571",29.5,40.9
"Estrada, Thairo","642731","2024","230",18.7,3.5,".302",".282",27.1,6.2,36.2,"98.121658523","93.07266233",19.6,50.2
"Henderson, Gunnar","683002","2024","253",23.7,11.5,".395",".388",31.4,13.2,56.6,"103.895786625","97.079912642",26.6,44.4
"Joe, Connor","656582","2024","207",18.4,9.2,".353",".305",35.1,6.8,37.2,"99.269072838","93.644241081",22.6,43.3
"Doyle, Brenton","686668","2024","225",26.7,10.2,".334",".320",36.9,8.5,40.4,"101.069984853","94.785918897",30.3,49.8
"Schanuel, Nolan","694384","2024","206",17,7.3,".281",".292",30.3,2.6,25.7,"94.999593514","91.499796757",14.8,41.6
"Garver, Mitch","641598","2024","188",31.9,11.7,".262",".284",36.9,7.8,37.9,"99.663623333","93.999018627",32.5,39.7
"Albies, Ozzie","645277","2024","213",15.5,7.5,".325",".308",36.3,5,30.6,"96.55713075","92.387079748",21.7,55.2
"Hernández, Teoscar","606192","2024","250",30,8.4,".351",".340",33.1,13.9,50.3,"102.691251316","95.920816093",33.8,51.9
"Neto, Zach","687263","2024","206",25.2,6.3,".312",".305",32.1,9.3,34.3,"99.818034493","94.02058413",27.7,52.4
"Donovan, Brendan","680977","2024","233",13.7,7.7,".316",".334",34.3,6.3,39.4,"98.640498851","93.460601322",14.9,40
"Frelick, Sal","686217","2024","202",20.8,10.4,".315",".280",28.5,0.7,22.6,"96.144049403","92.087774925",15.8,39.1
"Tatis Jr., Fernando","665487","2024","268",20.5,9.3,".342",".388",31.5,13.6,52.2,"102.98549663","96.090585301",26.5,50.2
"Adames, Willy","642715","2024","256",21.1,10.2,".346",".357",37.1,10.9,40.6,"99.433383977","94.118105429",30,47
"Heim, Jonah","641680","2024","197",17.3,5.6,".290",".292",27.8,6.6,39.7,"98.880226053","93.779008411",18.7,53.2
"Ohtani, Shohei","660271","2024","257",19.8,10.1,".427",".454",38.8,19.1,59,"106.368099101","98.412813955",26.4,47.2
"Smith, Josh","669701","2024","203",18.7,8.4,".355",".314",36.7,2.9,32.4,"97.370196522","92.720252701",20.3,47.7
"Schwarber, Kyle","656941","2024","263",28.9,16.7,".345",".359",31,10.6,54.9,"104.689506197","97.241963451",33.4,39.8
"Velázquez, Nelson","676369","2024","184",29.3,7.1,".300",".315",33,10.4,36.5,"99.480713103","93.892348",37.2,46.7
"Realmuto, J.T.","592663","2024","204",26.5,5.4,".327",".328",33.3,10.9,49.3,"101.77185","95.261112536",27.5,51.6
"Paredes, Isaac","670623","2024","235",16.2,10.6,".382",".314",39.2,6,28.3,"96.032709759","92.021367048",17.1,44.6
"Springer III, George","543807","2024","220",15,11.8,".277",".322",33.1,6.3,33.5,"98.986207342","93.544804522",21.7,48.3
"Winn, Masyn","691026","2024","183",16.4,7.7,".337",".303",41,1.4,26.6,"97.148404853","92.609417259",16,47.2
"García, Luis","671277","2024","182",18.7,5.5,".327",".333",31.2,8.7,44.9,"100.530262174","94.438677518",22.4,50.8
"García, Adolis","666969","2024","230",27.8,6.5,".314",".316",36.5,14.9,48,"102.633449324","95.878843986",33.2,54.7
"Freeman, Tyler","671289","2024","208",14.4,7.7,".300",".308",28.8,4.6,39.9,"99.561874211","94.054404437",17.2,46.3
"Cowser, Colton","681297","2024","185",29.2,10.8,".334",".361",36.1,16.7,50.9,"102.436453333","95.876775278",31.3,43.6
"Alvarez, Yordan","670541","2024","252",17.1,9.5,".362",".390",34.1,13.2,47.3,"103.440386813","96.322756906",20.4,47.2
"Bellinger, Cody","641355","2024","199",16.1,8,".327",".306",36,8.7,34,"98.519040533","93.475143067",24.7,52.2
"Cruz, Oneil","665833","2024","215",34.4,7.4,".310",".316",31.2,17.6,52.8,"106.186872381","97.76785952",33.7,46.6
"Toro, Abraham","647351","2024","231",16.9,4.3,".328",".325",40.4,6.2,32,"98.391034382","93.343642542",17.8,46.5
"Tauchman, Mike","643565","2024","212",21.2,13.2,".344",".330",37.2,7.3,40.9,"99.007215217","93.643156788",23.6,48.4
"Díaz, Elias","553869","2024","189",16.9,5.8,".338",".281",33.6,4.2,32.2,"98.199094366","93.172113873",28,55.4
"Blackmon, Charlie","453568","2024","187",10.7,8.6,".298",".303",31.5,5.4,26.8,"95.731389459","91.917761892",15.9,50.6
"Acuña Jr., Ronald","660670","2024","222",23.9,12.2,".325",".349",31.7,9.4,48.2,"103.064738696","96.113602174",27.5,47
"Lindor, Francisco","596019","2024","259",17,6.9,".309",".353",31.8,10.4,44.3,"99.980722396","94.432289738",22.4,48.6
"Keith, Colt","690993","2024","183",18,7.1,".266",".307",29.4,7.4,33.1,"98.054213971","93.094818088",22.2,47.8
"Busch, Michael","683737","2024","194",34.5,11.9,".340",".336",41.2,13.7,37.3,"99.762049412","94.19888802",32.8,45.7
"Candelario, Jeimer","600869","2024","205",27.3,8.3,".312",".285",36.4,7,34.1,"97.568878769","92.865923798",30.2,50.7
"Torres, Gleyber","650402","2024","247",24.3,9.7,".288",".296",36.6,6.8,34.2,"98.27823325","93.317228438",25.7,45.9
"Witt Jr., Bobby","677951","2024","266",16.9,7.9,".388",".432",37.4,16.2,51.8,"104.576296263","97.040041168",24,50.3
"Harper, Bryce","547180","2024","236",22.9,14.8,".390",".369",35.4,11.6,50.3,"102.901678649","96.082335102",30.7,50.7
"Swanson, Dansby","621020","2024","187",27.3,9.1,".280",".328",33.9,11,42.4,"100.082081525","94.244157797",32,47.9
"Naylor, Josh","647304","2024","233",15.9,9.9,".343",".363",33.1,11.2,44.4,"101.623802857","95.292440479",22.1,52.4
"Raleigh, Cal","663728","2024","205",34.6,8.8,".303",".320",33.9,15.7,56.5,"102.984787895","96.690232982",31.8,51.8
"Soto, Juan","665742","2024","273",16.1,14.7,".428",".461",35.1,19.7,59.6,"106.040419468","98.506549198",22.2,38
"O'Hoppe, Logan","681351","2024","188",25.5,6.4,".323",".346",38.9,10.3,48.4,"101.418532581","95.416391613",31.8,49.8
"Reynolds, Bryan","668804","2024","261",19.9,9.6,".323",".353",33.7,9.2,45.7,"100.971615109","94.825172609",29.5,46.2
"Gorman, Nolan","669357","2024","192",35.9,10.9,".324",".333",46.1,15.7,35.3,"99.259400588","93.63905598",38.8,49
"Freeman, Freddie","518692","2024","263",16.3,12.5,".371",".368",45.3,9.4,39.8,"99.992014725","94.389763204",21.4,49.9
"Rodríguez, Julio","677594","2024","253",27.7,5.1,".296",".325",32.7,7.7,48.8,"103.613036548","96.483291726",31.5,54.3
"Benson, Will","666181","2024","196",38.8,12.2,".317",".307",37.9,14.7,48.4,"100.96268234","95.013064787",37.7,46.8
"Carroll, Corbin","682998","2024","246",20.7,9.8,".260",".297",27.8,5.3,33.1,"99.568543333","93.79423119",21.3,45.3
"Castellanos, Nick","592206","2024","243",22.2,7,".274",".303",35.9,7.1,38.8,"99.077476941","93.680155529",33.8,57.5
"Gurriel Jr., Lourdes","666971","2024","228",18,4.8,".284",".294",30.3,6.3,41.7,"99.805904432","94.118558629",20,51.2
"Giménez, Andrés","665926","2024","239",14.6,4.6,".321",".321",35,3.8,27.3,"96.274220112","92.139871629",23.4,55.9
"Vaughn, Andrew","683734","2024","220",24.1,6.8,".260",".306",36.2,7.4,41.6,"100.7375888","94.620266711",24.5,47.8
"Cronenworth, Jake","630105","2024","249",16.9,8,".339",".344",33.5,9.3,39.6,"100.290965444","94.40721",16.5,46.8
"Caballero, José","676609","2024","196",30.1,5.6,".294",".277",33.6,3.3,23.8,"96.100212414","92.100644914",32.5,47.7
"Westburg, Jordan","676059","2024","213",19.2,7,".380",".379",37,9.1,50,"102.378855325","95.863837778",29.9,50.4
"Stott, Bryson","681082","2024","210",14.8,12.4,".319",".325",38.7,4.7,26.7,"96.516251757","92.320580135",17.1,41.5
"Ozuna, Marcell","542303","2024","237",22.8,11,".426",".447",44.2,18.6,56.4,"103.154878462","96.728826538",31,48.3
"Alonso, Pete","624413","2024","248",19,8.5,".342",".344",32.4,13.1,40.3,"101.14718","94.750220511",21.1,46.1
"Turner, Justin","457759","2024","190",16.3,10.5,".294",".327",37.2,3.6,32.8,"97.07744971","92.677888248",18.6,47.3
